New Tree Number,Re-tagged?,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured
3,Yes,129,Swan Creek,WA,6/7/24,133,32.8,Alive,,
4,Yes,130,Swan Creek,WA,6/7/24,119,25.9,Alive,,
5,Yes,131,Swan Creek,WA,6/7/24,99,19.5,Alive,,
6,Yes,132,Swan Creek,WA,6/7/24,90,12.4,Dying,,
,No,133,Swan Creek,WA,6/7/24,82,11.9,Dead,,
,No,134,Swan Creek,Wa,6/7/24,N/A,N/A,Missing,,
13,Yes,135,Swan Creek,WA,6/7/24,124,26.4,Alive,,
,No,136,Swan Creek,WA,6/7/24,114,11.9,Dead,,
14,Yes,137,Swan Creek,WA,6/7/24,130,28.4,Alive,,
15,Yes,138,Swan Creek,WA,6/7/24,121,24.5,Alive,,
16,Yes,139,Swan Creek,WA,6/7/24,105,23.6,Alive,,
17,Yes,140,Swan Creek,WA,6/7/24,124,27.2,Alive,,
18,Yes,141,Swan Creek,WA,6/7/24,107,30.4,Alive,,
,No,142,Swan Creek,WA,6/7/24,N/A,N/A,Missing,,
19,Yes,143,Swan Creek,WA,6/7/24,112,19.3,Alive,,
,No,144,Swan Creek,WA,6/7/24,92,13.3,Dead,,
,No,145,Swan Creek,WA,6/7/24,102,17,Dead,,
,No,146,Swan Creek,WA,6/7/24,132,24.9,Dead,,
27,Yes,147,Swan Creek,WA,6/7/24,101,18.1,Alive,Gash at base,
28,Yes,148,Swan Creek,WA,6/7/24,125,33.6,Alive,,
29,Yes,149,Swan Creek,WA,6/7/24,101,36.5,Alive,,
30,Yes,150,Swan Creek,WA,6/7/24,186,41.7,Alive,,
,No,151,Swan Creek,WA,6/7/24,103,17.8,Dead,,
31,Yes,152,Swan Creek,WA,6/7/24,113,21.5,Alive,,
39,Yes,153,Swan Creek,WA,6/7/24,95,16,Alive,,
40,Yes,154,Swan Creek,WA,6/7/24,94,14,Alive,,
,No,155,Swan Creek,WA,6/7/24,103,13.8,Dead,,
41,Yes,156,Swan Creek,WA,6/7/24,N/A,N/A,Missing,,
42,Yes,157,Swan Creek,WA,6/7/24,111,16.1,Alive,,
43,Yes,158,Swan Creek,WA,6/7/24,94,10.8,Dying,,
,No,159,Swan Creek,WA,6/7/24,120,24.8,Alive,,
44,Yes,160,Swan Creek,WA,6/7/24,85,11,Dead,,
,,161,Swan Creek,WA,6/7/24,131,24.4,Alive,,
,No,162,Swan Creek,WA,6/7/24,N/A,N/A,Missing,,
50,Yes,163,Swan Creek,WA,6/7/24,48,23.7,Alive,,
,No,164,Swan Creek,WA,6/7/24,95,14.6,Dead,,
,No,165,Swan Creek,WA,6/7/24,N/A,N/A,Missing,,
51,Yes,166,Swan Creek,WA,6/7/24,130,31.8,Alive,,
52,Yes,167,Swan Creek,WA,6/7/24,124,21.4,Alive,,
53,Yes,168,Swan Creek,WA,6/7/24,131,13.2,Alive,,
59,Yes,169,Swan Creek,WA,6/7/24,124,24.9,Alive,,
60,Yes,170,Swan Creek,WA,6/7/24,108,17,Dying,,
,No,171,Swan Creek,WA,6/7/24,N/A,N/A,Missing,,
61,Yes,172,Swan Creek,WA,6/7/24,111,17.4,Alive,,
62,Yes,173,Swan Creek,WA,6/7/24,90,21.5,Alive,,
63,Yes,174,Swan Creek,WA,6/7/24,130,23.7,Alive,,
64,Yes,175,Swan Creek,WA,6/7/24,106,27.1,Alive,,
