New Tree Number,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured,Elk Browse
281,93,Tomanamus,OR,7/18/2024,76,10.1,Alive,,2024,None
282,94,Tomanamus,OR,7/18/2024,116,14.2,Alive,,2024,None
284,95,Tomanamus,OR,7/18/2024,100,23.3,Alive,,2024,None
285,96,Tomanamus,OR,7/18/2024,107,11.3,Alive,,2024,None
286,97,Tomanamus,OR,7/18/2024,123,14.5,Alive,Browsed,2024,Yes
287,98,Tomanamus,OR,7/18/2024,114,12.2,Alive,,2024,None
283,99,Tomanamus,OR,7/18/2024,15.8,23,Alive,,2024,None
288,100,Tomanamus,OR,7/18/2024,158,23,Alive,,2024,None
475,101,Tomanamus,OR,7/18/2024,110,13,Alive,,2024,None
476,102,Tomanamus,OR,7/18/2024,95,12,Alive,,2024,None
477,103,Tomanamus,OR,7/18/2024,107,14.7,Alive,Browsed,2024,Yes
478,104,Tomanamus,OR,7/18/2024,86,14,Alive,Browsed,2024,Yes
479,105,Tomanamus,OR,7/18/2024,127,13.6,Alive,,2024,None
480,106,Tomanamus,OR,7/18/2024,117,20,Alive,Browsed,2024,Yes
481,107,Tomanamus,OR,7/18/2024,50,5,Dead,Browsed,2024,Yes
482,108,Tomanamus,OR,7/18/2024,121,19,Alive,,2024,None
483,109,Tomanamus,OR,7/18/2024,104,13.5,Alive,Browsed,2024,Yes
484,110,Tomanamus,OR,7/18/2024,126,21,Alive,,2024,None
485,111,Tomanamus,OR,7/18/2024,121,17.7,Alive,Browsed,2024,Yes
486,112,Tomanamus,OR,7/18/2024,89,22.4,Alive,Browsed,2024,Yes
487,113,Tomanamus,OR,7/18/2024,105,11.5,Alive,Browsed,2024,Yes
488,114,Tomanamus,OR,7/18/2024,126,13,Alive,,2024,None
489,115,Tomanamus,OR,7/18/2024,96,16,Alive,Browsed,2024,Yes
490,116,Tomanamus,OR,7/18/2024,112,15,Alive,,2024,None
491,117,Tomanamus,OR,7/18/2024,95,14.6,Alive,,2024,None
492,118,Tomanamus,OR,7/18/2024,68,13,Alive,Browsed,2024,Yes
493,119,Tomanamus,OR,7/18/2024,103,,Alive,Browsed,2024,Yes
494,120,Tomanamus,OR,7/18/2024,90,,Alive,,2024,None
495,121,Tomanamus,OR,7/18/2024,144,,Alive,Browsed,2024,Yes
496,122,Tomanamus,OR,7/18/2024,108,,Alive,Browsed,2024,Yes
497,123,Tomanamus,OR,7/18/2024,100,,Alive,,2024,None
498,124,Tomanamus,OR,7/18/2024,,,Dead,,2024,
499,125,Tomanamus,OR,7/18/2024,149,,Alive,Browsed,2024,Yes
453,51,Tomanamus,WA,7/18/2024,140,12.45,Alive,Browsed,2024,Low
454,52,Tomanamus,WA,7/18/2024,105,12.75,Alive,Browsed,2024,High
455,53,Tomanamus,WA,7/18/2024,105,11.5,Alive,Browsed,2024,High
456,54,Tomanamus,WA,7/18/2024,65,12.75,Alive,Browsed,2024,Low
457,55,Tomanamus,WA,7/18/2024,105,11.08,Alive,,2024,None
458,56,Tomanamus,WA,7/18/2024,105,11.85,Alive,Browsed,2024,High
459,57,Tomanamus,WA,7/18/2024,97,15.22,Alive,Browsed,2024,Low
460,58,Tomanamus,WA,7/18/2024,139,18,Alive,,2024,None
461,59,Tomanamus,WA,7/18/2024,67,12.5,Alive,,2024,None
462,60,Tomanamus,WA,7/18/2024,83,12.5,Alive,,2024,None
463,62,Tomanamus,WA,7/18/2024,95,15.2,Alive,,2024,None
464,,Tomanamus,WA,7/18/2024,85,14.8,Alive,,2024,None
466,63,Tomanamus,WA,7/18/2024,88,15,Alive,,2024,None
,64,Tomanamus,WA,7/18/2024,,,,,2024,
,65,Tomanamus,WA,7/18/2024,,,,,2024,
,66,Tomanamus,WA,7/18/2024,,,,,2024,
,67,Tomanamus,WA,7/18/2024,,,,,2024,
,68,Tomanamus,WA,7/18/2024,,,,,2024,
,69,Tomanamus,WA,7/18/2024,,,,,2024,
304,70,Tomanamus,WA,7/18/2024,75,14,Alive,Browsed,2024,Yes
,71,Tomanamus,WA,7/18/2024,,,,,2024,
308,72,Tomanamus,WA,7/18/2024,112,14.8,Alive,Browsed,2024,Yes
309,73,Tomanamus,WA,7/18/2024,82,18.2,Alive,Browsed,2024,Yes
310,74,Tomanamus,WA,7/18/2024,70,11,,,2024,
,75,Tomanamus,WA,7/18/2024,,,,,2024,
401,76,Tomanamus,WA,7/18/2024,116,11.6,Alive,Thimble berry,2024,None
402,77,Tomanamus,WA,7/18/2024,127,15.2,Alive,Thimble Berry,2024,None
403,78,Tomanamus,WA,7/18/2024,73,9.9,Alive,Severe Browsing,2024,Yes
404,79,Tomanamus,WA,7/18/2024,126,13.7,Alive,,2024,
405,80,Tomanamus,WA,7/18/2024,99,13.2,Alive,Browsed,2024,Yes
406,81,Tomanamus,WA,7/18/2024,98,9.1,Alive,Middle browsed,2024,Yes
407,82,Tomanamus,WA,7/18/2024,123,11.9,Alive,,2024,None
408,83,Tomanamus,WA,7/18/2024,91,15.4,Alive,,2024,None
409,84,Tomanamus,WA,7/18/2024,107,14.7,Alive,Slightly Browsed,2024,Yes
410,85,Tomanamus,WA,7/18/2024,97,11.2,Alive,Empty Middle,2024,None
411,86,Tomanamus,WA,7/18/2024,89,13.2,Alive,"Naked Middle, browsing",2024,Yes
412,87,Tomanamus,WA,7/18/2024,102,15.2,Alive,"naked middle, browsed",2024,Yes
413,88,Tomanamus,WA,7/18/2024,107,12,Alive,struggling. Browsed,2024,Yes
414,89,Tomanamus,WA,7/18/2024,114,15,Alive,Browsed,2024,YEes
415,90,Tomanamus,WA,7/18/2024,115,17,Alive,Browsed,2024,Yes
416,91,Tomanamus,WA,7/18/2024,81,8.5,Dying,"Barely alive, browsed",2024,Yes
417,92,Tomanamus,WA,7/18/2024,89,9.4,Alive,Browsed,2024,Yes
418,93,Tomanamus,WA,7/18/2024,98,15.8,Alive,,2024,None
419,94,Tomanamus,WA,7/18/2024,106,15.5,Alive,,2024,None
420,95,Tomanamus,WA,7/18/2024,66,11,Dead,,2024,
421,96,Tomanamus,WA,7/18/2024,109,13,Alive,Browsed,2024,Yes
422,97,Tomanamus,WA,7/18/2024,122,14.3,Alive,,2024,None
423,98,Tomanamus,WA,7/18/2024,92,14.6,Alive,Browsed,2024,Yes
424,99,Tomanamus,WA,7/18/2024,106,13.8,Alive,Crowded with other plants,2024,None
425,100,Tomanamus,WA,7/18/2024,123,15.1,Alive,Crowded with other plants,2024,None
426,101,Tomanamus,WA,7/18/2024,103,14,Alive,"Crowded by thimble berry, browsed",2024,Yes
427,102,Tomanamus,WA,7/18/2024,124,15,Alive,Browsed,2024,Yes
428,103,Tomanamus,WA,7/18/2024,82,14.5,Alive,Browsed,2024,Yes
429,104,Tomanamus,WA,7/18/2024,79,7.4,Dead,Browsed,2024,Yes
430,105,Tomanamus,WA,7/18/2024,90,14,Alive,Browsed,2024,Yes
431,106,Tomanamus,WA,7/18/2024,73,8.1,Alive,"Crowded by thimble berry, browsed",2024,Yes
432,107,Tomanamus,WA,7/18/2024,149,17.8,Alive,Thistle by cedar,2024,No
433,108,Tomanamus,WA,7/18/2024,130,19.6,Alive,Thistle and tree stump,2024,No
434,109,Tomanamus,WA,7/18/2024,122,17.7,Alive,"Thistle and huckleberry, browsed",2024,Yes
435,110,Tomanamus,WA,7/18/2024,89,15,Alive,"by fox glove, browsed",2024,Yes
436,111,Tomanamus,WA,7/18/2024,72,12.4,Alive,,2024,No
437,112,Tomanamus,WA,7/18/2024,95,10.9,Alive,"by fox glove, browsed",2024,Yes
438,113,Tomanamus,WA,7/18/2024,99,14.8,Alive,By fox glove and thistle,2024,No
439,114,Tomanamus,WA,7/18/2024,85,12.7,Alive,"by fox glove, browsed",2024,Yes
440,115,Tomanamus,WA,7/18/2024,86,14,Alive,"Cleaver Area/higher, browsed",2024,Yes
441,116,Tomanamus,WA,7/18/2024,101,16,Dead,"Higher elevation, browsed",2024,Yes
442,117,Tomanamus,WA,7/18/2024,98,18.3,Alive,Browsed,2024,Yes
443,118,Tomanamus,WA,7/18/2024,66,4.7,Alive,Browsed,2024,Yes
444,119,Tomanamus,WA,7/18/2024,103,14,Alive,Browsed,2024,Yes
445,120,Tomanamus,WA,7/18/2024,110,13.4,Alive,Browsed,2024,Yes
446,121,Tomanamus,WA,7/18/2024,93,11.6,Alive,"Thimbleberry, browsed",2024,Yes
447,122,Tomanamus,WA,7/18/2024,110,18.3,Alive,"Blackcap raspberry, browsed",2024,Yes
448,123,Tomanamus,WA,7/18/2024,118,19,Alive,Browsed,2024,Yes
449,124,Tomanamus,WA,7/18/2024,129,22.6,Alive,,2024,None
450,125,Tomanamus,WA,7/18/2024,131,18.6,Alive,,2024,None
301,,Tomanamus,WA,7/18/2024,104,14.6,Alive,,2024,None
302,,Tomanamus,WA,7/18/2024,110,11.7,Alive,Browsed,2024,Yes
303,,Tomanamus,WA,7/18/2024,65,11.8,Alive,Browsed,2024,Yes
306,,Tomanamus,WA,7/18/2024,100,15.5,Alive,Top and Sides browsed,2024,Yes
307,,Tomanamus,WA,7/18/2024,65,14,Alive,Browsed,2024,Yes
311,,Tomanamus,WA,7/18/2024,151,14.5,Alive,,2024,No
