New Tree Number,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured,Elk Browse
208,214,Renton,OR,6/18/2024,56,10.3,Alive,Browsed top 1/2,2024,
212,215,Renton,OR,6/18/2024,58,12.7,Alive,Browsed top 1/2,2024,
214,216,Renton,OR,6/18/2024,59,13.7,Dying,Browsed top 1/2,2024,
217,217,Renton,OR,6/18/2024,144,16.9,Alive,,2024,
218,218,Renton,OR,6/18/2024,47,12.9,Dying,Browsed top 1/2,2024,
220,219,Renton,OR,6/18/2024,51,11.4,Alive,Browsed top 1/2,2024,
222,220,Renton,OR,6/18/2024,45,13.1,Alive,Browsed top 1/2,2024,
224,221,Renton,OR,6/18/2024,119,13.2,Alive,,2024,
226,222,Renton,OR,6/18/2024,144,18.8,Alive,,2024,
228,223,Renton,OR,6/18/2024,52,13.4,Alive,"No tag, orange flagging, browsed top",2024,
230,224,Renton,OR,6/18/2024,53,13.6,Alive,browsed top 1/2,2024,
231,225,Renton,OR,6/18/2024,118,15.1,Alive,,2024,
236,226,Renton,OR,6/18/2024,47,14.8,Alive,Browsed top half,2024,
143,176,Renton,WA,6/18/2024,130,19.3,Alive,Damage on trunk,2024,
145,177,Renton,WA,6/18/2024,124,20.4,Alive,,2024,
147,178,Renton,WA,6/18/2024,116,16.4,Alive,Blackberry growing under tree,2024,
149,179,Renton,WA,6/18/2024,112,13.7,Alive,,2024,
151,180,Renton,WA,6/18/2024,133,17.9,Alive,,2024,
154,181,Renton,WA,6/18/2024,150,17.6,Alive,,2024,
156,182,Renton,WA,6/18/2024,178,25.9,Alive,,2024,
158,183,Renton,WA,6/18/2024,148,23.2,Alive,,2024,
160,184,Renton,WA,6/18/2024,160,22.7,Alive,,2024,
,185,Renton,WA,6/18/2024,,,,,2024,
164,186,Renton,WA,6/18/2024,129,13.5,Alive,,2024,
166,187,Renton,WA,6/18/2024,126,17.6,Alive,,2024,
168,188,Renton,WA,6/18/2024,99,16.4,Dying,Dead top 1/2,2024,
171,189,Renton,WA,6/18/2024,113,14.4,Alive,,2024,
176,190,Renton,WA,6/18/2024,150,18.7,Alive,,2024,
178,191,Renton,WA,6/18/2024,129,14.4,Alive,,2024,
180,192,Renton,WA,6/18/2024,129,22.8,Alive,,2024,
181,193,Renton,WA,6/18/2024,129,22.8,Alive,,2024,
183,194,Renton,WA,6/18/2024,48,10,Dying,Browsed top 1/2,2024,
185,195,Renton,WA,6/18/2024,120,15.2,Alive,,2024,
187,196,Renton,WA,6/18/2024,136,21.8,Alive,,2024,
189,197,Renton,WA,6/18/2024,125,15.8,Alive,,2024,
,198,Renton,WA,6/18/2024,,,,,2024,
,199,Renton,WA,6/18/2024,,,,,2024,
192,200,Renton,WA,6/18/2024,126,15.6,Alive,,2024,
195,201,Renton,WA,6/18/2024,156,17.6,Alive,,2024,
197,202,Renton,WA,6/18/2024,151,23.3,Alive,,2024,
199,203,Renton,WA,6/18/2024,109,12.3,Alive,Browsed top 1/2,2024,
201,204,Renton,WA,6/18/2024,117,15.4,Alive,,2024,
