Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Color,Year Measured
1,Seattle,OR,4/6/23,87,14.7,Alive,,Low Blushing,2023
2,Seattle,OR,4/6/23,,,Missing,,,2023
3,Seattle,OR,4/6/23,86,13.8,Alive,,Moderate Blushing,2023
4,Seattle,OR,4/6/23,70,14.2,Alive,2 leaders,Moderate Blushing,2023
5,Seattle,OR,4/6/23,97,10.6,Dead,,high Browning,2023
6,Seattle,OR,4/6/23,64,13,Dying,many leaf sprouts at base,high Browning,2023
7,Seattle,OR,4/6/23,76,13.2,Alive,,Moderate Blushing,2023
8,Seattle,OR,4/6/23,86,13.9,Alive,,Low Blushing,2023
9,Seattle,OR,4/6/23,93,14.4,Alive,,High Blushing,2023
10,Seattle,OR,4/6/23,,,Missing,,,2023
11,Seattle,OR,4/6/23,97,15.1,Alive,,Moderate Blushing,2023
12,Seattle,OR,4/6/23,64,14.3,Alive,,Low Blushing,2023
13,Seattle,OR,4/6/23,57,8.7,Alive,many leaf sprouts at bottom,Moderate Blushing,2023
14,Seattle,OR,4/6/23,53,14.4,Dying,,Moderate Browning,2023
15,Seattle,OR,4/6/23,61,22.4,Alive,,Moderate Blushing,2023
16,Seattle,OR,4/6/23,102,15.5,Alive,2 leaders,Low Blushing,2023
17,Seattle,OR,4/6/23,86,13.4,Alive,,Low Blushing,2023
18,Seattle,OR,4/6/23,,,missing,,,2023
19,Seattle,OR,4/6/23,111,15.9,Alive,,,2023
20,Seattle,OR,4/6/23,,,Missing,,,2023
21,Seattle,OR,4/6/23,83,13.4,Alive,,Low Blushing,2023
22,Seattle,OR,4/6/23,85,14.6,Alive,,Low Blushing,2023
23,Seattle,OR,4/6/23,109,15.3,Alive,,Low Blushing,2023
24,Seattle,OR,4/6/23,104,13.3,Alive,,Low Blushing,2023
25,Seattle,OR,4/6/23,107,17.7,Alive,,Low Blushing,2023
26,Seattle,OR,4/6/23,67,14.8,Alive,,Moderate Blushing,2023
27,Seattle,OR,4/6/23,96,13.3,Alive,,Low Blushing,2023
28,Seattle,OR,4/6/23,97,13.1,Alive,,Moderate Blushing,2023
29,Seattle,OR,4/6/23,90,10.3,Dead,,high Browning,2023
30,Seattle,OR,4/6/23,100,13.8,Dying,,Moderate Blushing,2023
31,Seattle,OR,4/6/23,91,11,Alive,,Low Browning,2023
32,Seattle,OR,4/6/23,84,12,Alive,,Low Blushing,2023
33,Seattle,OR,4/6/23,100,12,Alive,,Moderate Blushing,2023
34,Seattle,OR,4/6/23,104,11,Alive,,Low Blushing,2023
35,Seattle,OR,4/6/23,90,8,Alive,,Low Blushing,2023
36,Seattle,OR,4/6/23,90,9,Alive,,Moderate Blushing,2023
37,Seattle,OR,4/6/23,99,14,Alive,,Low Browning,2023
38,Seattle,OR,4/6/23,89,12,Alive,,Moderate Blushing,2023
39,Seattle,OR,4/6/23,97,10,Alive,,Low Blushing,2023
40,Seattle,OR,4/6/23,101,11,Alive,,Moderate Blushing,2023
41,Seattle,OR,4/6/23,115,13,Alive,,Moderate Blushing,2023
42,Seattle,OR,4/6/23,,,Missing,,,2023
43,Seattle,OR,4/6/23,,,Missing,,,2023
44,Seattle,OR,4/6/23,93,9,Alive,,Moderate Blushing,2023
45,Seattle,OR,4/6/23,,,,,,2023
46,Seattle,OR,4/6/23,96,10,Alive,,Moderate Blushing,2023
47,Seattle,OR,4/6/23,,,Missing,,Low Blushing,2023
48,Seattle,OR,4/6/23,90,12,Alive,,Low Blushing,2023
49,Seattle,OR,4/6/23,101,14,Alive,,Moderate Blushing,2023
50,Seattle,OR,4/6/23,101,15,Alive,,Low Blushing,2023
51,Tomanamus,OR,4/28/23,83,8.9,Alive,5% dead,,2023
52,Tomanamus,OR,4/28/23,78,9.1,Alive,,High Blushing,2023
53,Tomanamus,OR,4/28/23,98,10.1,Alive,"55% dead, dead top",,2023
54,Tomanamus,OR,4/28/23,87,9.7,Alive,,High Blushing,2023
55,Tomanamus,OR,4/28/23,96,10.5,Alive,60% dead,,2023
56,Tomanamus,OR,4/28/23,73,8.8,Alive,5% dead,,2023
57,Tomanamus,OR,4/28/23,84,10.4,Alive,"60% dead, 2 leaders",,2023
58,Tomanamus,OR,4/28/23,80,9.6,Alive,5% dead,,2023
59,Tomanamus,OR,4/28/23,92,9.7,Alive,20% dead,,2023
60,Tomanamus,OR,4/28/23,89,9.1,Alive,30% dead,,2023
61,Tomanamus,OR,4/28/23,31,6.4,Alive,top browsed,,2023
62,Tomanamus,OR,4/28/23,97,9.9,Dying,"90% dead, top browsed",,2023
63,Tomanamus,OR,4/28/23,50,8.9,Alive,"5% dead, top browsed, 2 leaders",,2023
64,Tomanamus,OR,4/28/23,96,12.6,Dying,"75% dead, browsed, top dead",,2023
65,Tomanamus,OR,4/28/23,24,10.8,Alive,broken at base but resprouted,,2023
66,Tomanamus,OR,4/28/23,79,12.2,Alive,40% dead,,2023
67,Tomanamus,OR,4/28/23,77,9,Alive,"15% dead, top browsed",,2023
68,Tomanamus,OR,4/28/23,81,9,Alive,"5% dead, top browsed",,2023
69,Tomanamus,OR,4/28/23,43,7.6,Alive,"40% dead, top browsed",,2023
70,Tomanamus,OR,4/28/23,94,13.3,Alive,"10% dead,top browsed",,2023
71,Tomanamus,OR,4/28/23,83,11.5,Alive,"5% dead, 3 leaders",,2023
72,Tomanamus,OR,4/28/23,92,11.6,Alive,,,2023
73,Tomanamus,OR,4/28/23,88,10.5,Alive,,,2023
